U235,UO2,Gd2O3,Boron,Water,Pitch,Kmax,Kmin
0.008225101,10.34184531,0.094911443,0.000549309,0.981362048,2.461429817,0.17953,0.17933
0.010653533,10.15209868,0.086721494,0.000906061,0.976938103,2.284097779,0.18445,0.18423
0.007535976,10.78906789,0.022618135,0.000864384,0.958996933,2.052767116,0.18956,0.18938
0.010018388,10.81710345,0.032915175,0.000884443,0.956546541,2.290607335,0.19119,0.19099
0.010469718,10.14632716,0.04916196,0.000886255,0.970474252,2.195260704,0.19887,0.19867
0.011515207,10.93243829,0.0842781,0.000931325,0.817348492,2.466127704,0.20293,0.20271
0.008685851,10.06639473,0.081243757,0.000524903,0.911524741,2.41236884,0.20402,0.2038
0.00933975,10.80906022,0.062013189,0.000940899,0.849203665,2.188023547,0.20478,0.20456
0.007691786,10.00177547,0.021234858,0.00078641,0.667672018,2.247863193,0.21056,0.21036
0.01195956,10.53422718,0.046593484,0.000821178,0.973830381,2.338494223,0.21117,0.21093
0.013224654,10.21280449,0.028247136,0.000884713,0.897452747,2.396280598,0.21745,0.21721
0.011570577,10.48216504,0.051438903,0.000957239,0.760544221,2.37216581,0.21918,0.21894
0.011506703,10.09491018,0.093689218,0.000871438,0.926023634,2.174674019,0.2234,0.22318
0.010998348,10.24413471,0.032669141,0.000624902,0.933861175,2.333253185,0.23473,0.23449
0.009166971,10.82093823,0.0867234,0.000776053,0.730485427,2.237254861,0.23792,0.23768
0.008313188,10.37989643,0.02977142,0.00098213,0.817978055,1.850328204,0.24182,0.24158
0.009885563,10.08277435,0.057732997,0.000585613,0.941157371,2.167478368,0.24664,0.2464
0.009409373,10.55232273,0.024570796,0.00048557,0.936547551,2.299586685,0.24888,0.24862
0.010456012,10.75667481,0.002914212,0.000919191,0.70531227,2.282450039,0.25048,0.25024
0.00852121,10.06030256,0.047598749,0.000477189,0.708610012,2.384897998,0.25314,0.25292
0.010115662,10.89409638,0.088705926,0.000582561,0.876724088,2.294858634,0.25371,0.25347
